Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel,score_lesion_ajustado,score_nivel_ajustado
PALA SIUX TRILOGY 3 ATTACK,99.0,siux,"negro, azul",3,4,0,2,2,3,2,3,hombre,0.6756756756756757,0.8128654970760234,0.6081081081081081,0.8128654970760234
NOX MM2 PRO BY MANU MARTIN,107.95,nox,"negro, rojo",0,3,0,0,3,0,2,2,hombre,0.40540540540540543,0.4561403508771931,0.40540540540540543,0.4561403508771931
DROP SHOT INDIGO LTD,106.95,drop shot,"negro, azul",2,2,0,0,2,2,1,0,mixta,0.2972972972972973,0.32163742690058483,0.38648648648648654,0.35380116959064334
SIUX ASTRA 3.0 HYBRID,59.95,siux,"negro, amarillo, verde",2,4,0,0,1,0,2,2,hombre,0.24324324324324326,0.19298245614035092,0.31621621621621626,0.2
BLACK CROWN PITON NAKANO 15K,108.95,black crown,No data,1,4,0,0,2,1,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
STARVIE METHEORA DUAL 2024,169.0,No data,amarillo,3,2,0,2,2,2,2,2,hombre,0.6216216216216217,0.6549707602339182,0.5594594594594595,0.6549707602339182
STARVIE BASALTO PRO 2024,156.0,No data,"negro, azul",1,0,0,2,2,1,2,1,hombre,0.16216216216216217,0.44444444444444453,0.2,0.44444444444444453
BULLPADEL VERTEX 04 COMFORT,142.95,bullpadel,negro,3,2,0,2,3,3,2,3,hombre,0.7567567567567568,0.9298245614035089,0.6054054054054054,0.9298245614035089
SIUX DIABLO REVOLUTION LITE 3,229.0,siux,"negro, rojo",2,2,0,2,2,0,0,2,hombre,0.4864864864864865,0.49707602339181295,0.4864864864864865,0.49707602339181295
SOFTEE SPEED ORANGE POWER,113.95,softee,"negro, naranja",2,4,0,0,2,2,2,0,mixta,0.21621621621621623,0.3918128654970761,0.2810810810810811,0.43099415204678376
ADIDAS DRIVE 3.3 VINTAGE,63.95,adidas,"blanco, marrón",1,4,1,1,1,1,1,1,hombre,0.08108108108108109,0.0,0.2,0.2
SOFTEE PRO MASTER EVOLUTION FUCSIA,49.95,softee,"negro, fucsia",2,4,1,0,1,0,1,2,mixta,0.24324324324324326,0.12280701754385967,0.31621621621621626,0.2
DUNLOP RAPID CONTROL 4.0,62.95,dunlop,"negro, marrón",1,4,1,1,1,1,1,1,mixta,0.08108108108108109,0.0,0.2,0.2
DUNLOP TITAN PRO ORANGE 2024,94.95,dunlop,naranja,2,0,1,2,2,0,1,2,hombre,0.32432432432432434,0.49707602339181295,0.35675675675675683,0.49707602339181295
VIBOR-A BLACK MAMBA,159.95,vibor-a,negro,2,4,1,2,1,2,2,2,mixta,0.4594594594594595,0.33333333333333337,0.4594594594594595,0.36666666666666675
ADIDAS ADIPOWER MULTIWEIGHT CTRL 3.3,256.95,adidas,negro,1,3,0,3,2,1,2,1,hombre,0.5675675675675675,0.5146198830409358,0.5675675675675675,0.5146198830409358
ENEBE AEROX CARBON 22,105.95,enebe,"negro, azul",2,4,0,0,2,2,1,0,mixta,0.21621621621621623,0.32163742690058483,0.2810810810810811,0.35380116959064334
MYSTICA LEGACY CONTROL PINK 2024,50.95,No data,"negro, rosa",1,2,1,2,1,1,1,1,mixta,0.32432432432432434,0.14035087719298248,0.35675675675675683,0.2
ADIDAS MATCH LIGHT 3.3 2024,49.95,adidas,blanco,3,4,1,1,1,2,1,2,mixta,0.3783783783783784,0.21052631578947373,0.4162162162162163,0.27368421052631586
VARLION BOURNE PRISMA RADIO W AZUL 2023,229.95,varlion,"negro, azul",3,1,0,0,3,3,2,3,mixta,0.43243243243243246,0.7894736842105264,0.43243243243243246,0.7894736842105264
RS RIALTO PRO 95081,189.95,No data,No data,2,4,0,0,3,2,2,2,hombre,0.2972972972972973,0.543859649122807,0.38648648648648654,0.543859649122807
ADIDAS ADIPOWER CTRL MTW PRO EDT BY ÁLEX RUIZ,305.95,adidas,"blanco, rojo",3,0,0,2,3,1,2,1,hombre,0.32432432432432434,0.736842105263158,0.35675675675675683,0.736842105263158
BLACK CROWN SNAKE 2022,103.95,black crown,"negro, verde",2,4,0,0,2,1,1,0,mixta,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
VARLION LW SUMMUM PRISMA S,188.95,varlion,"negro, gris, azul",1,3,0,0,2,1,2,0,hombre,0.32432432432432434,0.304093567251462,0.35675675675675683,0.33450292397660825
HARLEM COREX 18K,95.95,No data,"negro, amarillo, azul",0,4,0,0,2,0,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
VIBOR-A BLACK MAMBA RADICAL 12K 2024,279.95,vibor-a,negro,2,2,0,2,3,2,2,3,hombre,0.6216216216216217,0.7543859649122807,0.5594594594594595,0.7543859649122807
DUNLOP TITAN PRO WHITE 2024,94.95,dunlop,negro,2,0,1,2,2,0,1,2,hombre,0.32432432432432434,0.49707602339181295,0.35675675675675683,0.49707602339181295
VIBOR-A TITAN 2024,359.95,vibor-a,No data,2,2,0,2,2,0,2,2,hombre,0.4864864864864865,0.5672514619883041,0.4864864864864865,0.5672514619883041
SIUX BLACK CARBON REVOLUTION 2 2023,94.95,siux,"negro, rojo",1,3,0,3,2,1,1,1,hombre,0.5675675675675675,0.44444444444444453,0.5675675675675675,0.44444444444444453
BLACK CROWN PITON LIMITED,207.95,black crown,"negro, gold",0,2,0,0,2,1,2,0,mixta,0.16216216216216217,0.304093567251462,0.2,0.33450292397660825
NOX AT PRO CUP COORP 2024,118.95,nox,blanco,2,3,1,2,3,2,1,2,mixta,0.7027027027027027,0.6140350877192984,0.5621621621621622,0.6140350877192984
WILSON CARBON FORCE PRO GOLD LTD,192.95,wilson,"negro, gold",1,4,0,0,2,1,2,1,mixta,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
BULLPADEL ELITE W 24,180.95,bullpadel,"negro, blanco",2,2,0,2,2,2,1,2,mujer,0.5405405405405406,0.49707602339181295,0.5405405405405406,0.49707602339181295
NOX ML10 BAHIA 12K LUXURY SERIES 2024,168.95,nox,"negro, gris, rojo",3,2,0,2,2,2,2,2,hombre,0.6216216216216217,0.6549707602339182,0.5594594594594595,0.6549707602339182
DUNLOP INFINITY PRO G1 HL SILVER,94.95,bullpadel,"negro, blanco",2,2,0,2,2,0,1,2,hombre,0.4864864864864865,0.49707602339181295,0.4864864864864865,0.49707602339181295
BULLPADEL NEURON,172.95,dunlop,"negro, plateado",2,4,0,0,2,2,1,0,mixta,0.21621621621621623,0.32163742690058483,0.2810810810810811,0.35380116959064334
BLACK CROWN PITON 9.0 SOFT,118.95,black crown,"negro, azul",2,4,0,0,2,1,1,0,mujer,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
WINGPADEL AIR COMBAT BLACK CTRL 4.0,59.95,wingpadel,"negro, plateado",1,2,0,2,2,1,1,0,hombre,0.32432432432432434,0.3742690058479533,0.35675675675675683,0.41169590643274867
DUNLOP IMPACT GREEN NH,49.95,dunlop,"negro, verde",3,2,1,0,2,3,1,0,mixta,0.43243243243243246,0.49707602339181295,0.43243243243243246,0.49707602339181295
ADIDAS METALBONE PRO EDT BY ALE GALÁN,424.95,adidas,No data,3,4,0,2,3,3,2,3,hombre,0.6756756756756757,0.9298245614035089,0.6081081081081081,0.9298245614035089
SIUX BLACK CARBON REVOLUTION 3K,108.95,siux,negro,0,4,0,0,2,1,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
BULLPADEL FLOW W 24,171.95,bullpadel,blanco,3,2,0,2,2,3,2,3,mujer,0.7567567567567568,0.8128654970760234,0.6054054054054054,0.8128654970760234
SIUX PEGASUS (SS),520.0,siux,negro,2,4,0,2,2,0,1,2,hombre,0.40540540540540543,0.49707602339181295,0.40540540540540543,0.49707602339181295
BULLPADEL HACK 03 HYBRID 24,202.95,bullpadel,naranja,1,2,0,2,2,1,2,1,mixta,0.32432432432432434,0.44444444444444453,0.35675675675675683,0.44444444444444453
HEAD SPEED PRO X SPECIAL PACKAGING 2023,203.95,head,"negro, gris",2,2,0,2,2,0,1,2,hombre,0.4864864864864865,0.49707602339181295,0.4864864864864865,0.49707602339181295
BABOLAT TECHNICAL VIPER JUAN LEBRON 2024,303.95,babolat,rojo,3,2,0,2,3,3,2,3,mixta,0.7567567567567568,0.9298245614035089,0.6054054054054054,0.9298245614035089
BABOLAT DYNA SPIRIT 2023,127.95,babolat,"negro, lila",2,2,1,1,2,2,2,1,mixta,0.2972972972972973,0.3918128654970761,0.38648648648648654,0.43099415204678376
NOX EQUATION ADVANCED SERIES 2024,83.95,nox,negro,1,3,1,2,1,1,2,1,mixta,0.4864864864864865,0.2105263157894737,0.4864864864864865,0.2736842105263158
BABOLAT STIMA ENERGY 2023,169.95,babolat,"negro, azul",2,2,2,0,2,1,1,1,mixta,0.3081081081081081,0.32163742690058483,0.33891891891891895,0.35380116959064334
HEAD EXTREME PRO,199.95,head,"negro, verde",3,1,2,2,2,3,2,3,mixta,0.6594594594594595,0.8128654970760234,0.5935135135135136,0.8128654970760234
BULLPADEL IONIC POWER 2023,99.95,bullpadel,"azul, plateado",3,2,1,0,2,3,2,3,hombre,0.5945945945945946,0.6725146198830411,0.5945945945945946,0.6725146198830411
ADIDAS CROSS IT LIGHT PRO EDT BY MARTITA ORTEGA,299.95,adidas,negro,1,4,0,2,3,1,2,1,mujer,0.24324324324324326,0.5614035087719299,0.31621621621621626,0.5614035087719299
STAR VIE S2 FLUOR CARBON EFFECT,114.95,No data,"negro, amarillo",2,2,0,0,2,1,1,0,mixta,0.24324324324324326,0.32163742690058483,0.31621621621621626,0.35380116959064334
BABOLAT STORM 2022,55.95,babolat,"negro, amarillo, naranja",2,4,1,0,1,2,1,2,mixta,0.2972972972972973,0.12280701754385967,0.38648648648648654,0.2
SIUX FUSION III,59.95,siux,"negro, naranja, azul",1,4,1,0,1,1,1,0,mixta,0.08108108108108109,0.0,0.2,0.2
RS COBRA EDITION NEGRO NARANJA,46.95,No data,"negro, naranja, verde",2,4,1,0,1,1,2,0,mixta,0.16216216216216217,0.1578947368421053,0.2,0.2
SIUX BEAT HYBRID AIR,79.0,siux,No data,2,4,1,1,1,0,0,2,mujer,0.24324324324324326,0.12280701754385967,0.31621621621621626,0.2
BULLPADEL HACK 02 PRF 2024,99.95,bullpadel,No data,2,4,1,2,2,0,1,2,hombre,0.40540540540540543,0.49707602339181295,0.40540540540540543,0.49707602339181295
VAIRO COLUMNS XTREME,85.95,No data,negro,2,2,0,2,2,0,1,2,hombre,0.4864864864864865,0.49707602339181295,0.4864864864864865,0.49707602339181295
HEAD ULTIMATE POWER YELLOW WITH CB,69.95,head,"negro, amarillo",2,1,0,0,2,0,1,2,hombre,0.16216216216216217,0.35672514619883045,0.2,0.3923976608187135
HEAD EXTREME ONE 2023,251.95,head,negro,3,1,0,2,2,3,2,3,mixta,0.5945945945945946,0.8128654970760234,0.5945945945945946,0.8128654970760234
ADIDAS METALBONE CARBON CTRL 3.3 2024,190.95,adidas,negro,1,4,0,1,2,1,2,1,hombre,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
ECLYPSE LUNAR 3.0 WOMAN,191.95,No data,"negro, morado",0,3,1,0,2,1,2,0,mujer,0.32432432432432434,0.304093567251462,0.35675675675675683,0.33450292397660825
VAIRO BLACK KARBON CONFORT,189.95,No data,negro,2,2,0,1,2,0,2,2,mixta,0.32432432432432434,0.4269005847953218,0.35675675675675683,0.4269005847953218
BABOLAT TECHNICAL VERON JUAN LEBRON 2024,184.95,babolat,rojo,3,2,2,2,3,3,2,3,hombre,0.8216216216216217,0.9298245614035089,0.6572972972972974,0.9298245614035089
BABOLAT STIMA SPIRIT 2023,144.95,babolat,"negro, rosa",2,2,1,1,2,1,2,3,mujer,0.40540540540540543,0.49707602339181295,0.40540540540540543,0.49707602339181295
NOX EQUATION LIGHT ADVANCED SERIES 2024,89.95,nox,"blanco, rosa",2,2,1,0,2,1,2,1,mujer,0.24324324324324326,0.3918128654970761,0.31621621621621626,0.43099415204678376
ADIDAS METALBONE CTRL 3.3 2024,243.95,adidas,"negro, azul",1,4,0,1,2,1,2,1,hombre,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
SIUX SPYDER LITE 3 HARD,229.0,siux,negro,3,3,0,3,2,3,1,3,hombre,1.0,0.8128654970760234,0.9,0.8128654970760234
SIUX PEGASUS REVOLUTION CUBE,199.95,black crown,No data,2,4,1,0,1,1,2,0,mixta,0.16216216216216217,0.1578947368421053,0.2,0.2
BLACK CROWN HURRICANE 2022,85.95,siux,negro,2,3,0,3,2,0,1,2,hombre,0.7297297297297298,0.5672514619883041,0.5837837837837839,0.5672514619883041
BLACK CROWN PITON AIR,99.95,black crown,"negro, naranja",1,2,0,0,2,1,1,0,mixta,0.16216216216216217,0.2339181286549708,0.2,0.304093567251462
BULLPADEL IONIC CONTROL 2023,99.95,bullpadel,"naranja, lila",3,2,0,0,2,3,2,3,hombre,0.5945945945945946,0.6725146198830411,0.5945945945945946,0.6725146198830411
RS COBRA APEX EDITION WOMEN BLACK,109.95,No data,"negro, rosa",1,2,0,0,2,2,2,0,mujer,0.21621621621621623,0.304093567251462,0.2810810810810811,0.33450292397660825
BLACK CROWN SPECIAL POWER,175.95,black crown,"negro, gris",0,2,0,0,2,2,2,0,hombre,0.21621621621621623,0.304093567251462,0.2810810810810811,0.33450292397660825
HEAD SPEED MOTION ARI SANCHEZ 2024,259.95,head,No data,2,1,2,1,2,2,1,2,mujer,0.2810810810810811,0.35672514619883045,0.36540540540540545,0.3923976608187135
ADIDAS ADIPOWER LIGHT 3.3,142.95,adidas,blanco,1,4,0,1,2,1,2,1,mujer,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
HARLEM HELIX,59.95,No data,"negro, amarillo, morado",0,4,1,0,2,0,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
SALMING MAGICIAN S5 DUAL FORCE,78.95,No data,blanco,1,4,0,0,1,1,1,0,mixta,0.08108108108108109,0.0,0.2,0.2
ENEBE NITRO GREEN 2024,59.95,enebe,negro,2,2,1,2,1,1,1,1,hombre,0.40540540540540543,0.22807017543859653,0.40540540540540543,0.2964912280701755
DUNLOP ROCKET TOUR AZUL,50.95,dunlop,"negro, azul",2,2,1,2,1,1,1,1,hombre,0.40540540540540543,0.22807017543859653,0.40540540540540543,0.2964912280701755
WILSON PRO STAFF ELITE V2,153.95,wilson,"negro, naranja",1,4,1,0,2,1,2,1,mixta,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
VIBOR-A KING COBRA XTREME 3K 2024,147.95,vibor-a,blanco,3,2,0,2,2,3,2,3,hombre,0.7567567567567568,0.8128654970760234,0.6054054054054054,0.8128654970760234
BLACK CROWN PITON 12 2024,160.95,black crown,"negro, rojo",2,4,0,1,2,1,2,2,hombre,0.24324324324324326,0.4269005847953218,0.31621621621621626,0.4269005847953218
HEAD EXTREME MOTION PAULA JOSEMARIA 2024,259.95,head,No data,3,1,2,2,2,3,1,3,mujer,0.6594594594594595,0.7426900584795323,0.5935135135135136,0.7426900584795323
DUNLOP SPEED ELITE HL,50.95,dunlop,"negro, verde",2,4,1,0,1,1,1,0,hombre,0.16216216216216217,0.08771929824561406,0.2,0.2
DUNLOP TITAN 2.0 VERDE,89.95,dunlop,No data,2,0,0,2,2,0,1,2,hombre,0.32432432432432434,0.49707602339181295,0.35675675675675683,0.49707602339181295
VARLION LW SUMMUM CARBON BLACK,111.95,varlion,"negro, morado",1,2,0,0,2,1,2,0,mixta,0.16216216216216217,0.304093567251462,0.2,0.33450292397660825
DUNLOP TITAN 2.0 NARANJA,89.95,dunlop,No data,2,0,1,2,2,0,1,2,hombre,0.32432432432432434,0.49707602339181295,0.35675675675675683,0.49707602339181295
VIBOR-A YARARA ELITE 24K,208.95,vibor-a,"gold, rojo",2,2,0,2,3,2,2,2,hombre,0.5405405405405406,0.6842105263157896,0.5405405405405406,0.6842105263157896
WILSON PRO STAFF V2 2024,223.95,wilson,"amarillo, rojo",1,2,0,2,2,1,2,1,hombre,0.32432432432432434,0.44444444444444453,0.35675675675675683,0.44444444444444453
BLACK CROWN PITON NAKANO,84.95,black crown,"negro, plateado, rosa",3,4,1,0,3,1,1,0,mujer,0.24324324324324326,0.5263157894736843,0.31621621621621626,0.5263157894736843
SOFTEE PRO MASTER EVOLUTION ROJO,52.95,softee,"negro, rojo",2,4,1,0,1,2,2,0,mixta,0.21621621621621623,0.1578947368421053,0.2810810810810811,0.2
HARLEM BIONIC,75.95,No data,"negro, rojo",0,4,0,0,2,0,2,0,mixta,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
DUNLOP AERO-STAR TEAM,114.95,dunlop,No data,3,2,0,2,2,3,2,3,hombre,0.7567567567567568,0.8128654970760234,0.6054054054054054,0.8128654970760234
STAR VIE KRAKEN PRO,125.95,No data,"negro, verde",3,2,0,0,2,2,2,0,mixta,0.3783783783783784,0.4795321637426901,0.4162162162162163,0.4795321637426901
SIUX INFERNAL AVANT,79.0,siux,No data,0,0,0,0,0,0,0,0,mixta,0.0,0.0,0.2,0.2
STARVIE TRITON ULTRA SPEED SOFT 2024,179.0,No data,"negro, plateado",3,4,0,1,2,2,2,3,hombre,0.4594594594594595,0.584795321637427,0.4594594594594595,0.584795321637427
BLACK CROWN PITON AIR 12K 24,153.95,black crown,verde,1,2,0,2,2,1,2,1,hombre,0.32432432432432434,0.44444444444444453,0.35675675675675683,0.44444444444444453
BULLPADEL BP10 EVO 2024,83.95,bullpadel,"negro, naranja",2,4,1,0,2,1,1,2,hombre,0.24324324324324326,0.35672514619883045,0.31621621621621626,0.3923976608187135
SIUX DIABLO GO 3,189.0,siux,"negro, blanco",2,2,0,2,1,0,0,2,hombre,0.4864864864864865,0.26315789473684215,0.4864864864864865,0.3421052631578948
ADIDAS RX SERIES RED 2024,81.95,adidas,"negro, blanco, rojo",1,4,1,1,1,1,1,1,hombre,0.08108108108108109,0.0,0.2,0.2
MYSTICA QUICKSTART CONTROL WHITE 2024,52.95,No data,verde,1,2,1,1,1,1,0,1,mixta,0.16216216216216217,0.0,0.2,0.2
ROYAL PADEL 34 ANIVERSARIO HYBRID 2024,218.95,royal padel,rojo,2,1,0,1,2,2,2,2,hombre,0.21621621621621623,0.4269005847953218,0.2810810810810811,0.4269005847953218
STARVIE AQUILA SPACE 2.0 2023,134.95,No data,"negro, blanco, gris, azul",2,4,0,0,2,2,2,2,mixta,0.2972972972972973,0.4269005847953218,0.38648648648648654,0.4269005847953218
SIUX BLACK CARBON REVOLUTION 2,94.95,siux,"negro, rojo",1,3,0,3,2,1,1,1,hombre,0.5675675675675675,0.44444444444444453,0.5675675675675675,0.44444444444444453
VIBOR-A YARARA ANIVERSARIO,206.95,vibor-a,"negro, gold, rojo",0,4,0,0,2,2,2,0,mixta,0.13513513513513514,0.304093567251462,0.2,0.33450292397660825
VIBOR-A BAMBOO LIQUID EDITION 2023,176.95,vibor-a,"negro, verde",1,4,0,0,1,1,2,1,mixta,0.08108108108108109,0.07017543859649124,0.2,0.2
BABOLAT TECHNICAL VERON 2024,190.95,babolat,No data,3,2,2,0,2,3,0,3,hombre,0.6594594594594595,0.6023391812865498,0.5935135135135136,0.6023391812865498
DUNLOP IMPACT CARBON PRO LTD AZUL,69.95,dunlop,"gris, azul",2,0,1,0,1,0,0,2,hombre,0.16216216216216217,0.12280701754385967,0.2,0.2
HARLEM CYCLONE 12K HP-198,91.95,No data,"negro, gold, gris",2,4,0,0,1,0,1,2,hombre,0.24324324324324326,0.12280701754385967,0.31621621621621626,0.2
VIBOR-A KING COBRA ELITE 24K,227.95,vibor-a,rojo,3,2,0,1,2,3,2,3,hombre,0.5945945945945946,0.6725146198830411,0.5945945945945946,0.6725146198830411
STARVIE AQUILA 2024,110.95,No data,negro,3,4,0,1,1,2,2,2,mixta,0.3783783783783784,0.280701754385965,0.4162162162162163,0.3649122807017545
VAIRO TURBO SPEED,64.95,No data,No data,0,0,0,0,0,0,0,0,mixta,0.0,0.0,0.2,0.2
VAIRO GRAPHENO SPEED,74.95,No data,No data,2,2,0,1,2,1,1,1,hombre,0.24324324324324326,0.32163742690058483,0.31621621621621626,0.35380116959064334
RS PRIME TEAM EDITION MUJER,149.95,No data,"negro, rosa",0,4,0,0,2,2,2,0,mujer,0.13513513513513514,0.304093567251462,0.2,0.33450292397660825
VAIRO ACROSS BLUE,51.95,No data,azul,1,2,1,0,1,1,1,1,hombre,0.16216216216216217,0.0,0.2,0.2
STARVIE RAYDIUM COLUMNS 2023,103.95,No data,"naranja, azul",2,4,0,2,1,1,1,2,hombre,0.40540540540540543,0.26315789473684215,0.40540540540540543,0.3421052631578948
ADIDAS DRIVE 3.3 BLUE,51.95,adidas,azul,1,4,1,1,1,1,1,1,hombre,0.08108108108108109,0.0,0.2,0.2
SIUX TRILOGY GO 4,175.0,siux,"negro, verde",1,4,0,1,1,1,1,1,hombre,0.08108108108108109,0.0,0.2,0.2
J HAYBER DOMINATOR D3K,122.95,No data,"negro, lima",2,2,0,0,2,1,2,0,mixta,0.24324324324324326,0.3918128654970761,0.31621621621621626,0.43099415204678376
WILSON CARBON FORCE LT 2023,127.95,wilson,negro,2,4,0,1,2,3,2,3,hombre,0.43243243243243246,0.584795321637427,0.43243243243243246,0.584795321637427
ADIDAS MATCH 3.3 BLACK RED 2024,55.95,adidas,"negro, rojo",3,4,1,1,1,2,1,2,mixta,0.3783783783783784,0.21052631578947373,0.4162162162162163,0.27368421052631586
SIUX BEAT CONTROL,79.0,siux,verde,1,4,1,1,1,1,0,1,hombre,0.08108108108108109,0.0,0.2,0.2
ADIDAS CROSS IT CTRL 2024,225.95,adidas,"negro, naranja",1,3,0,3,2,1,2,1,hombre,0.5675675675675675,0.5146198830409358,0.5675675675675675,0.5146198830409358
STAR VIE VESTA,71.95,No data,"negro, morado, rosa",2,4,1,0,2,1,1,0,mixta,0.16216216216216217,0.32163742690058483,0.2,0.35380116959064334
STAR VIE COMET,107.95,No data,No data,2,4,0,0,1,1,1,0,mixta,0.16216216216216217,0.08771929824561406,0.2,0.2
BABOLAT COUNTER VIPER 2024,242.95,babolat,amarillo,3,2,0,2,1,0,2,2,hombre,0.5675675675675675,0.4210526315789475,0.5675675675675675,0.4210526315789475
VIBOR-A YARARA RADICAL 12K 2024,279.95,vibor-a,plateado,3,2,0,0,2,2,2,3,hombre,0.5405405405405406,0.584795321637427,0.5405405405405406,0.584795321637427
ADIDAS BT ADIPOWER H24,129.95,adidas,"negro, naranja",2,2,0,0,2,0,2,2,mixta,0.32432432432432434,0.4269005847953218,0.35675675675675683,0.4269005847953218
PRINCE AIR V,81.95,prince,negro,0,2,0,2,1,2,0,2,hombre,0.4594594594594595,0.17543859649122812,0.4594594594594595,0.2
ENEBE SPITFIRE 12K 2024,199.95,enebe,"negro, verde",0,2,0,2,2,2,0,2,mixta,0.4594594594594595,0.4093567251461989,0.4594594594594595,0.4093567251461989
VAIRO GRAPHENO CONFORT,144.95,No data,No data,2,2,1,2,2,0,2,1,hombre,0.40540540540540543,0.5321637426900585,0.40540540540540543,0.5321637426900585
VAIRO EVERLAST CROSS,174.95,No data,No data,3,2,0,3,2,3,1,0,hombre,0.6756756756756757,0.7076023391812867,0.6081081081081081,0.7076023391812867
ROYAL PADEL RP WHIP EXTREME 2024,198.95,royal padel,No data,2,0,1,1,2,1,2,2,hombre,0.16216216216216217,0.4269005847953218,0.2,0.4269005847953218
BULLPADEL RAIDER CONTROL,59.95,bullpadel,naranja,1,4,1,1,1,1,1,1,mixta,0.08108108108108109,0.0,0.2,0.2
ENEBE COMBAT ULTRASOFT CELESTE,60.95,enebe,"negro, azul",1,2,1,0,1,1,1,0,mixta,0.16216216216216217,0.0,0.2,0.2
WILSON PRO STAFF V2 TEAM,47.95,wilson,"gris, rojo",1,4,1,0,2,1,1,0,mixta,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
BLACK CROWN PITON 11 SOFT 2023,109.0,black crown,azul,1,2,2,0,2,1,2,1,mixta,0.22702702702702704,0.304093567251462,0.2951351351351352,0.33450292397660825
RS PADEL COBRA APEX EDITION MENTA MUJER,109.95,No data,"negro, verde",1,2,0,0,2,2,2,0,mujer,0.21621621621621623,0.304093567251462,0.2810810810810811,0.33450292397660825
RS PRIME EDITION 2.0 MUJER,169.95,No data,"negro, rosa",2,2,0,0,2,2,2,0,mujer,0.2972972972972973,0.3918128654970761,0.38648648648648654,0.43099415204678376
BLACK CROWN PATRON 2024,174.95,black crown,No data,2,2,0,2,1,0,2,2,hombre,0.4864864864864865,0.33333333333333337,0.4864864864864865,0.36666666666666675
HEAD RADICAL ELITE 2024,132.95,head,rojo,2,1,1,2,1,2,1,2,hombre,0.3783783783783784,0.26315789473684215,0.4162162162162163,0.3421052631578948
ADIDAS MATCH 3.3 BLACK LIME 2024,52.95,adidas,"negro, amarillo",3,4,1,1,1,2,1,2,mixta,0.3783783783783784,0.21052631578947373,0.4162162162162163,0.27368421052631586
DUNLOP RAPID POWER 4.0,65.95,dunlop,"negro, plateado",2,2,1,2,1,2,1,2,hombre,0.5405405405405406,0.26315789473684215,0.5405405405405406,0.3421052631578948
STAR VIE TRONIX,120.95,No data,No data,1,4,0,0,1,1,1,0,mixta,0.08108108108108109,0.0,0.2,0.2
SIUX LIBERTY HYBRID,99.95,siux,No data,2,2,0,2,1,2,1,2,hombre,0.5405405405405406,0.26315789473684215,0.5405405405405406,0.3421052631578948
DUNLOP TITAN 2.0 AMARILLA,89.95,dunlop,negro,2,0,1,2,2,0,1,2,hombre,0.32432432432432434,0.49707602339181295,0.35675675675675683,0.49707602339181295
STARVIE BASALTO 2024,150.95,No data,amarillo,2,4,0,1,1,2,2,2,hombre,0.2972972972972973,0.19298245614035092,0.38648648648648654,0.2
STARVIE DRONOS ULTRA SPEED SOFT 2024,149.95,No data,No data,2,4,0,1,1,2,2,2,hombre,0.2972972972972973,0.19298245614035092,0.38648648648648654,0.2
VIBOR-A YARARA XTREME 3K 2024,147.95,vibor-a,No data,2,2,0,2,2,0,2,2,hombre,0.4864864864864865,0.5672514619883041,0.4864864864864865,0.5672514619883041
ADIDAS ADIPOWER CTRL 3.3,190.95,adidas,"negro, naranja",1,4,0,1,2,1,2,1,hombre,0.08108108108108109,0.304093567251462,0.2,0.33450292397660825
ADIDAS ADIPOWER TEAM LIGHT 3.3,111.95,adidas,"blanco, verde",1,4,1,1,2,1,0,1,hombre,0.08108108108108109,0.2339181286549708,0.2,0.304093567251462
ADIDAS ADIPOWER MULTIWEIGHT 3.3,256.95,adidas,negro,3,2,0,2,2,3,2,1,hombre,0.5945945945945946,0.7076023391812867,0.5945945945945946,0.7076023391812867
BULLPADEL IONIC CONTROL 2024,122.95,bullpadel,"amarillo, naranja, plateado",1,2,0,2,1,1,1,1,hombre,0.32432432432432434,0.14035087719298248,0.35675675675675683,0.2
BABOLAT COUNTER VERON 2024,191.95,babolat,"negro, amarillo",3,2,2,2,1,0,2,2,hombre,0.6324324324324324,0.4210526315789475,0.5691891891891891,0.4210526315789475
SIUX GENESIS HYBRID 12K,299.0,siux,"negro, rojo",2,2,0,0,2,0,2,2,hombre,0.32432432432432434,0.4269005847953218,0.35675675675675683,0.4269005847953218
DUNLOP INFERNO CARBON EXTREME,127.95,dunlop,"negro, naranja",2,2,0,3,3,0,2,2,hombre,0.5675675675675675,0.7543859649122807,0.5675675675675675,0.7543859649122807
BABOLAT TECHNICAL VIPER 2024,255.95,babolat,marrón,3,2,0,2,2,3,2,3,hombre,0.7567567567567568,0.8128654970760234,0.6054054054054054,0.8128654970760234
