Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel
ENEBE COMBAT ULTRASOFT 2021,71.95,enebe,No data,1,4,0,0,2,1,1,0,mixta,0.44230769230769235,0.4113345521023766
DUNLOP RAPID POWER 3,39.95,dunlop,"negro, naranja",2,4,1,0,1,0,1,0,mixta,0.46923076923076923,0.3747714808043876
ENEBE RESPONSE 22,173.95,enebe,"negro, gold, rojo",0,4,0,0,2,0,1,0,mixta,0.34615384615384615,0.3290676416819013
VARLION BOURNE CARBON TI,65.95,varlion,"negro, naranja, azul",0,4,2,0,2,3,2,0,mixta,0.5923076923076923,0.6106032906764168
DUNLOP BLITZ EVOLUTION,49.95,dunlop,"negro, lima",0,4,1,0,1,1,1,0,mixta,0.3923076923076923,0.3473491773308958
BLACK CROWN PITON AIR PLUS 2022,115.95,bullpadel,"negro, rosa",0,4,1,0,1,3,1,0,mixta,0.46923076923076923,0.4570383912248629
BULLPADEL SKY POWER CORAL,119.95,black crown,"negro, rojo",2,4,1,0,2,1,2,0,mixta,0.5846153846153846,0.546617915904936
VIDAR OF BASTAD CC ELITE X,178.95,No data,"negro, gris",0,2,0,0,2,2,2,0,mixta,0.34615384615384615,0.39488117001828155
WILSON CARBON FORCE PRO PADEL CARBON NEGRO VERDE,224.95,wilson,"negro, verde",0,1,0,0,2,2,2,0,mixta,0.2884615384615385,0.3510054844606947
DUNLOP TITAN LT HL ORANGE,64.95,vibor-a,"negro, naranja",2,2,1,0,2,2,2,2,mixta,0.6230769230769231,0.623400365630713
VIBOR-A MORTAL FIBRA,225.95,dunlop,"negro, naranja",3,2,1,0,2,1,1,0,mixta,0.48846153846153845,0.46983546617915906
DUNLOP IMPACT HL YELLOW,39.95,dunlop,"negro, amarillo",2,4,1,0,1,2,1,0,mixta,0.5461538461538462,0.4844606946983547
DROP SHOT ESSENCE 1.0,101.95,drop shot,"negro, gris",0,2,0,0,2,2,2,0,mixta,0.34615384615384615,0.39488117001828155
DROP SHOT PREMIUM PRO 1 BT,103.95,drop shot,"negro, verde",2,3,0,0,2,0,2,2,mixta,0.5576923076923077,0.5210237659963437
VARLION LW CARBON 8 PRISMA PANSY MUJER,127.95,varlion,"blanco, naranja",1,4,0,0,2,1,2,0,mujer,0.4807692307692308,0.4552102376599635
VARLION LW HEXAGON 8.8,51.95,varlion,"negro, azul",1,4,1,0,2,1,1,0,mixta,0.48846153846153845,0.44789762340036565
BEACH TENNIS NOX ML 10 PRO CUP,109.95,nox,"blanco, gold",2,4,1,0,2,0,2,2,mixta,0.6615384615384615,0.6014625228519197
